Origin,OriginState,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,GA,AA,479.71,1831.88,251545,533
ATL,GA,B6,432.71,712.62,14008,1509
ATL,GA,AS,173.58,562.42,45395,1723
ATL,GA,DL,212.56,598.62,415592,997
ATL,GA,UA,416.3,1557.13,295161,362
ATL,GA,WN,476.25,793.03,284790,67
LAX,CA,UA,157.25,1207.22,431406,166
LAX,CA,NK,197.23,477.35,211467,369
LAX,CA,F9,196.3,1778.7,448829,1758
LAX,CA,B6,350.85,846.84,197513,553
ORD,IL,UA,362.1,467.64,340615,822
ORD,IL,AS,150.2,1137.24,76252,1686
ORD,IL,AA,387.13,1032.03,261878,1158
ORD,IL,DL,291.36,1240.08,385756,1375
ORD,IL,B6,331.88,1658.22,499553,1232
DFW,TX,B6,431.69,731.03,71186,1278
DFW,TX,F9,444.68,584.86,197676,1901
DFW,TX,WN,283.9,879.23,221223,98
DFW,TX,DL,320.53,1600.5,169912,491
DFW,TX,AS,421.28,1600.56,233347,971
DEN,CO,UA,465.18,1845.86,13586,567
DEN,CO,AS,289.73,1540.62,260210,810
DEN,CO,F9,221.64,608.66,467623,155
DEN,CO,WN,481.7,1835.26,133642,1939
DEN,CO,DL,253.4,484.99,58102,1002
DEN,CO,AA,285.29,1445.49,481783,937
JFK,NY,B6,329.4,1163.37,435489,1962
JFK,NY,UA,446.51,508.41,460411,728
SFO,CA,B6,497.23,633.5,10796,1506
SFO,CA,F9,244.36,439.49,299434,497
SFO,CA,DL,332.38,438.62,335655,876
MIA,FL,F9,278.79,1681.96,154383,1249
MIA,FL,UA,459.24,1613.59,69643,937
MIA,FL,B6,329.89,1466.11,405367,1172
MIA,FL,NK,412.13,1209.52,387030,364
SEA,WA,AS,199.77,1863.99,80472,240
SEA,WA,F9,284.36,1031.04,328419,135
SEA,WA,NK,256.02,1925.7,28075,448
SEA,WA,WN,349.25,1068.14,224349,1741
SEA,WA,UA,203.08,1275.29,468033,572
BOS,MA,AA,163.11,1563.58,455279,1661
BOS,MA,F9,226.68,1864.21,39649,389
BOS,MA,DL,385.41,582.78,489872,1420
LAS,NV,AS,351.97,1276.68,140310,1895
LAS,NV,B6,409.74,1410.44,431969,718
LAS,NV,F9,204.46,1491.13,281147,1517
LAS,NV,UA,332.02,846.34,314214,1266
LAS,NV,WN,463.81,761.92,413051,95
PHX,AZ,F9,490.47,1986.1,266553,155
PHX,AZ,UA,255.12,1781.0,315217,268
PHX,AZ,NK,201.79,757.8,437049,1654
PHX,AZ,B6,458.26,797.98,119794,1903
PHX,AZ,AS,474.12,1515.81,85351,1085
IAH,TX,NK,265.92,529.81,302047,382
IAH,TX,AS,318.41,1885.46,331661,185
IAH,TX,WN,259.88,1822.89,411305,942
IAH,TX,F9,435.27,646.47,217821,1019
MCO,FL,AS,257.8,1178.43,66984,1057
MCO,FL,UA,485.4,1341.48,491453,880
EWR,NJ,WN,205.72,923.43,181219,821
EWR,NJ,UA,179.01,531.35,452321,1680
EWR,NJ,DL,152.97,1264.59,391625,1058
EWR,NJ,B6,182.31,1952.1,475066,1704
EWR,NJ,AS,376.79,1986.94,370629,54
MSP,MN,UA,389.98,1722.81,360855,781
MSP,MN,AA,350.2,464.69,354206,1878
MSP,MN,DL,265.55,462.31,167407,1243
MSP,MN,F9,495.86,1382.98,48172,1732
MSP,MN,B6,217.29,671.9,488682,850
DTW,MI,DL,364.46,621.79,441103,996
DTW,MI,UA,448.34,651.83,322806,1639
DTW,MI,B6,330.21,1194.26,371971,508
DTW,MI,NK,249.29,1029.43,366251,743
DTW,MI,AA,206.98,1156.26,353656,976
PHL,PA,B6,432.44,776.2,224136,1784
PHL,PA,UA,383.19,736.88,167175,994
PHL,PA,AS,396.13,458.88,82972,170
PHL,PA,WN,456.3,636.29,313115,969
LGA,NY,UA,419.63,1500.36,153098,1236
LGA,NY,AS,401.52,1096.54,130438,301
LGA,NY,AA,375.51,1908.13,492521,1180
CLT,NC,B6,286.78,952.14,87067,150
CLT,NC,AS,444.39,1685.8,21451,847
CLT,NC,DL,434.38,1141.61,102812,864
CLT,NC,WN,398.2,917.73,415897,322
CLT,NC,AA,264.42,1946.72,432704,914
CLT,NC,NK,260.18,1864.79,350193,1210
