Origin,OriginState,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,GA,UA,475.56,1693.86,379792,416
ATL,GA,AA,217.66,427.37,44375,1463
ATL,GA,B6,165.92,660.95,38535,568
ATL,GA,DL,225.94,1956.13,283867,626
LAX,CA,DL,438.88,1050.0,85438,1298
LAX,CA,AA,491.87,844.3,316459,1464
LAX,CA,WN,183.79,657.41,281219,1480
LAX,CA,B6,188.81,1279.28,109418,166
LAX,CA,AS,456.31,1075.6,119997,92
ORD,IL,AA,477.69,1596.79,187365,1154
ORD,IL,F9,217.69,1033.65,181507,1837
ORD,IL,NK,151.35,1410.89,55521,718
DFW,TX,B6,232.23,1535.65,476410,1965
DFW,TX,DL,343.6,658.94,191268,905
DFW,TX,F9,433.61,673.47,446687,1644
DEN,CO,AA,310.09,1097.84,436297,549
DEN,CO,F9,229.5,1750.14,454731,1871
DEN,CO,WN,458.7,1202.56,113427,1878
DEN,CO,AS,385.61,1812.42,207041,467
DEN,CO,B6,435.1,1052.01,117454,1579
DEN,CO,NK,326.98,1416.0,48674,1858
JFK,NY,NK,343.25,1944.21,232569,272
JFK,NY,DL,490.6,703.8,5430,1409
JFK,NY,WN,426.89,721.8,270206,512
JFK,NY,AS,363.07,558.64,380860,1157
JFK,NY,AA,327.84,1953.31,450198,765
JFK,NY,B6,215.39,1579.48,475659,1541
SFO,CA,F9,478.26,1578.05,376325,1484
SFO,CA,UA,292.12,1833.04,15372,1059
MIA,FL,DL,353.7,410.04,437811,1890
MIA,FL,AS,338.38,560.72,494859,1389
MIA,FL,AA,243.24,1632.52,431360,1322
MIA,FL,WN,313.48,1111.35,71812,889
MIA,FL,UA,311.23,1205.07,66225,276
SEA,WA,NK,392.47,959.91,288649,1068
SEA,WA,B6,407.05,426.62,98425,1516
SEA,WA,F9,406.16,1522.39,435916,821
SEA,WA,DL,393.58,1715.16,198273,1143
BOS,MA,UA,263.29,726.62,77543,1313
BOS,MA,B6,357.61,1825.77,270934,382
BOS,MA,F9,264.15,1363.75,185055,1424
BOS,MA,NK,369.9,414.45,233146,960
BOS,MA,AA,254.25,618.41,392015,1814
LAS,NV,AA,298.07,1981.54,221009,673
LAS,NV,WN,417.56,1318.55,37992,861
LAS,NV,UA,157.56,406.16,258981,1651
LAS,NV,NK,310.05,1497.6,317102,1069
LAS,NV,DL,345.7,1496.93,138646,1792
LAS,NV,AS,249.48,841.28,304357,1092
PHX,AZ,B6,234.89,1742.23,247243,1112
PHX,AZ,AA,370.47,730.01,499783,1551
PHX,AZ,WN,337.75,1253.15,309886,829
IAH,TX,AA,427.32,666.66,10178,1360
IAH,TX,UA,432.17,1801.34,274887,719
IAH,TX,NK,191.39,1820.21,94601,114
IAH,TX,AS,289.47,1937.89,90997,130
MCO,FL,NK,443.95,686.63,14478,1144
MCO,FL,UA,238.43,1232.13,442027,1627
MCO,FL,B6,150.19,1803.62,121098,1223
MCO,FL,AS,216.48,1465.16,296265,134
MCO,FL,AA,318.86,1466.81,177952,1157
EWR,NJ,WN,343.67,1065.59,60567,1822
EWR,NJ,B6,155.1,1880.73,129026,965
EWR,NJ,NK,279.7,420.36,418297,51
EWR,NJ,F9,166.07,951.86,116596,849
EWR,NJ,UA,387.59,562.92,403339,1869
EWR,NJ,AS,422.49,969.43,460836,466
MSP,MN,AS,183.98,817.69,158503,1207
MSP,MN,WN,438.91,1966.0,105444,1411
DTW,MI,NK,416.41,1862.37,268535,1918
DTW,MI,WN,378.77,1249.31,15226,381
DTW,MI,B6,457.37,1685.83,222288,113
DTW,MI,AA,370.86,726.47,64243,812
PHL,PA,AA,471.63,884.83,147283,566
PHL,PA,DL,360.51,1901.03,73957,855
LGA,NY,B6,470.79,663.74,434129,1975
LGA,NY,AS,282.24,1659.84,25247,308
LGA,NY,UA,263.26,950.71,66252,1273
LGA,NY,WN,455.28,619.08,233688,1959
LGA,NY,F9,418.84,694.78,228068,1801
CLT,NC,DL,232.57,1890.99,178951,1376
CLT,NC,B6,253.21,1669.01,350981,579
CLT,NC,AA,257.56,1841.23,266569,671
