Origin,OriginState,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,GA,AS,388.77,1209.51,48773,588
ATL,GA,B6,456.44,1492.09,465014,1321
ATL,GA,NK,169.97,1664.95,342571,1483
ATL,GA,UA,346.28,647.3,435563,265
ATL,GA,F9,281.54,1312.21,157389,1798
LAX,CA,WN,311.8,549.6,463311,1004
LAX,CA,F9,374.87,1840.2,250623,1002
ORD,IL,DL,187.92,1935.28,388662,862
ORD,IL,F9,301.59,1042.43,407766,182
DFW,TX,AS,409.45,582.92,373202,980
DFW,TX,B6,340.78,1917.65,25070,348
DFW,TX,WN,224.71,1309.13,340657,1281
DFW,TX,DL,283.1,1898.34,410906,790
DEN,CO,F9,389.29,831.76,402733,1351
DEN,CO,DL,179.26,510.81,97330,879
DEN,CO,AA,254.42,1539.53,47839,1834
DEN,CO,NK,333.67,1471.43,225055,581
DEN,CO,AS,440.69,547.91,101510,1896
JFK,NY,AS,479.68,1170.6,188121,1146
JFK,NY,NK,424.35,1944.94,366145,944
JFK,NY,UA,469.41,1312.51,190960,1735
JFK,NY,DL,346.32,1830.05,10206,456
JFK,NY,B6,402.95,1325.58,45794,346
SFO,CA,AS,201.62,1782.88,494590,282
SFO,CA,AA,489.49,1050.22,420244,1116
SFO,CA,DL,151.29,1120.89,383685,1754
SFO,CA,WN,194.0,1118.93,454454,1234
MIA,FL,AA,492.66,1072.28,395965,1168
MIA,FL,DL,208.14,1004.09,411000,762
SEA,WA,WN,279.59,982.07,12534,668
SEA,WA,AS,257.44,1710.48,475105,305
SEA,WA,B6,324.7,1998.48,371643,897
BOS,MA,AS,474.22,1134.12,64443,814
BOS,MA,UA,343.46,660.25,97744,942
BOS,MA,B6,249.76,1455.37,205049,1443
BOS,MA,WN,371.94,1523.35,234372,1970
BOS,MA,NK,467.06,558.76,490037,229
LAS,NV,DL,365.69,1058.05,13612,1066
LAS,NV,AS,413.1,1883.57,398186,254
PHX,AZ,AA,421.91,1282.54,121852,284
PHX,AZ,AS,449.72,1920.88,107529,768
PHX,AZ,UA,469.91,1060.7,421154,1730
PHX,AZ,WN,396.34,1585.84,343092,65
PHX,AZ,DL,281.13,758.3,497629,630
IAH,TX,B6,465.07,1063.29,7179,81
IAH,TX,UA,203.68,999.05,18760,1722
IAH,TX,WN,437.01,1359.91,277086,736
IAH,TX,DL,485.71,1988.53,94344,545
MCO,FL,NK,195.1,1418.04,229973,1541
MCO,FL,DL,291.09,909.0,96077,374
MCO,FL,B6,230.84,1536.04,234324,308
MCO,FL,WN,191.43,1323.09,269375,852
MCO,FL,AA,416.76,1866.66,446990,1764
MCO,FL,UA,205.67,915.85,294881,240
EWR,NJ,AA,370.11,1349.26,11049,106
EWR,NJ,WN,397.65,1872.95,329062,211
MSP,MN,NK,422.16,698.49,336088,1386
MSP,MN,AA,227.61,710.13,475763,1771
MSP,MN,AS,404.21,1691.36,133583,824
MSP,MN,DL,241.17,482.8,408907,219
MSP,MN,WN,200.32,437.03,495196,1236
MSP,MN,UA,186.2,1134.6,459525,1270
DTW,MI,DL,241.7,689.0,153091,208
DTW,MI,F9,445.62,1860.35,264126,475
PHL,PA,DL,485.73,522.1,260075,1457
PHL,PA,WN,281.34,901.74,225152,1910
PHL,PA,AA,432.99,687.69,241390,70
PHL,PA,NK,212.54,1307.67,478766,1292
PHL,PA,AS,161.01,1961.47,453166,760
LGA,NY,AA,362.14,1257.53,106106,1110
LGA,NY,DL,416.34,746.09,273301,797
LGA,NY,B6,464.5,447.2,65182,333
LGA,NY,UA,179.2,1506.56,120218,309
LGA,NY,F9,245.78,718.78,145294,238
CLT,NC,B6,329.43,1039.91,233622,445
CLT,NC,WN,210.54,1499.29,136120,1867
CLT,NC,AS,248.38,1028.52,381122,1245
CLT,NC,NK,418.26,898.54,420840,1676
