Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
ATL,GA,AA,251545,533,479.71,1831.88,1306491,1306491,6,6,0.1925,2381.0,368.51,173.58
ATL,GA,AS,45395,1723,173.58,562.42,1306491,1306491,6,6,0.0347,2381.0,368.51,173.58
ATL,GA,B6,14008,1509,432.71,712.62,1306491,1306491,6,6,0.0107,2381.0,368.51,173.58
ATL,GA,DL,415592,997,212.56,598.62,1306491,1306491,6,6,0.3181,2381.0,368.51,173.58
ATL,GA,UA,295161,362,416.3,1557.13,1306491,1306491,6,6,0.2259,2381.0,368.51,173.58
ATL,GA,WN,284790,67,476.25,793.03,1306491,1306491,6,6,0.218,2381.0,368.51,173.58
BOS,MA,AA,455279,1661,163.11,1563.58,984800,984800,3,3,0.4623,4628.0,276.25,163.11
BOS,MA,DL,489872,1420,385.41,582.78,984800,984800,3,3,0.4974,4628.0,276.25,163.11
BOS,MA,F9,39649,389,226.68,1864.21,984800,984800,3,3,0.0403,4628.0,276.25,163.11
CLT,NC,AA,432704,914,264.42,1946.72,1410124,1410124,6,6,0.3069,2522.0,319.33,260.18
CLT,NC,AS,21451,847,444.39,1685.8,1410124,1410124,6,6,0.0152,2522.0,319.33,260.18
CLT,NC,B6,87067,150,286.78,952.14,1410124,1410124,6,6,0.0617,2522.0,319.33,260.18
CLT,NC,DL,102812,864,434.38,1141.61,1410124,1410124,6,6,0.0729,2522.0,319.33,260.18
CLT,NC,NK,350193,1210,260.18,1864.79,1410124,1410124,6,6,0.2483,2522.0,319.33,260.18
CLT,NC,WN,415897,322,398.2,917.73,1410124,1410124,6,6,0.2949,2522.0,319.33,260.18
DEN,CO,AA,481783,937,285.29,1445.49,1414946,1414946,6,6,0.3405,2697.0,284.04,221.64
DEN,CO,AS,260210,810,289.73,1540.62,1414946,1414946,6,6,0.1839,2697.0,284.04,221.64
DEN,CO,DL,58102,1002,253.4,484.99,1414946,1414946,6,6,0.0411,2697.0,284.04,221.64
DEN,CO,F9,467623,155,221.64,608.66,1414946,1414946,6,6,0.3305,2697.0,284.04,221.64
DEN,CO,UA,13586,567,465.18,1845.86,1414946,1414946,6,6,0.0096,2697.0,284.04,221.64
DEN,CO,WN,133642,1939,481.7,1835.26,1414946,1414946,6,6,0.0945,2697.0,284.04,221.64
DFW,TX,AS,233347,971,421.28,1600.56,893344,893344,5,5,0.2612,2210.0,374.1,283.9
DFW,TX,B6,71186,1278,431.69,731.03,893344,893344,5,5,0.0797,2210.0,374.1,283.9
DFW,TX,DL,169912,491,320.53,1600.5,893344,893344,5,5,0.1902,2210.0,374.1,283.9
DFW,TX,F9,197676,1901,444.68,584.86,893344,893344,5,5,0.2213,2210.0,374.1,283.9
DFW,TX,WN,221223,98,283.9,879.23,893344,893344,5,5,0.2476,2210.0,374.1,283.9
DTW,MI,AA,353656,976,206.98,1156.26,1855787,1855787,5,5,0.1906,2022.0,319.45,206.98
DTW,MI,B6,371971,508,330.21,1194.26,1855787,1855787,5,5,0.2004,2022.0,319.45,206.98
DTW,MI,DL,441103,996,364.46,621.79,1855787,1855787,5,5,0.2377,2022.0,319.45,206.98
DTW,MI,NK,366251,743,249.29,1029.43,1855787,1855787,5,5,0.1974,2022.0,319.45,206.98
