Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
ATL,GA,AS,48773,588,388.77,1209.51,1449310,1449310,5,5,0.0337,2621.0,334.35,169.97
ATL,GA,B6,465014,1321,456.44,1492.09,1449310,1449310,5,5,0.3209,2621.0,334.35,169.97
ATL,GA,F9,157389,1798,281.54,1312.21,1449310,1449310,5,5,0.1086,2621.0,334.35,169.97
ATL,GA,NK,342571,1483,169.97,1664.95,1449310,1449310,5,5,0.2364,2621.0,334.35,169.97
ATL,GA,UA,435563,265,346.28,647.3,1449310,1449310,5,5,0.3005,2621.0,334.35,169.97
BOS,MA,AS,64443,814,474.22,1134.12,1091645,1091645,5,5,0.059,2944.0,395.18,249.76
BOS,MA,B6,205049,1443,249.76,1455.37,1091645,1091645,5,5,0.1878,2944.0,395.18,249.76
BOS,MA,NK,490037,229,467.06,558.76,1091645,1091645,5,5,0.4489,2944.0,395.18,249.76
BOS,MA,UA,97744,942,343.46,660.25,1091645,1091645,5,5,0.0895,2944.0,395.18,249.76
BOS,MA,WN,234372,1970,371.94,1523.35,1091645,1091645,5,5,0.2147,2944.0,395.18,249.76
CLT,NC,AS,381122,1245,248.38,1028.52,1171704,1171704,4,4,0.3253,2881.0,321.16,210.54
CLT,NC,B6,233622,445,329.43,1039.91,1171704,1171704,4,4,0.1994,2881.0,321.16,210.54
CLT,NC,NK,420840,1676,418.26,898.54,1171704,1171704,4,4,0.3592,2881.0,321.16,210.54
CLT,NC,WN,136120,1867,210.54,1499.29,1171704,1171704,4,4,0.1162,2881.0,321.16,210.54
DEN,CO,AA,47839,1834,254.42,1539.53,874467,874467,5,5,0.0547,3072.0,350.19,179.26
DEN,CO,AS,101510,1896,440.69,547.91,874467,874467,5,5,0.1161,3072.0,350.19,179.26
DEN,CO,DL,97330,879,179.26,510.81,874467,874467,5,5,0.1113,3072.0,350.19,179.26
DEN,CO,F9,402733,1351,389.29,831.76,874467,874467,5,5,0.4605,3072.0,350.19,179.26
DEN,CO,NK,225055,581,333.67,1471.43,874467,874467,5,5,0.2574,3072.0,350.19,179.26
DFW,TX,AS,373202,980,409.45,582.92,1149835,1149835,4,4,0.3246,3214.0,308.07,224.71
DFW,TX,B6,25070,348,340.78,1917.65,1149835,1149835,4,4,0.0218,3214.0,308.07,224.71
DFW,TX,DL,410906,790,283.1,1898.34,1149835,1149835,4,4,0.3574,3214.0,308.07,224.71
DFW,TX,WN,340657,1281,224.71,1309.13,1149835,1149835,4,4,0.2963,3214.0,308.07,224.71
