Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
ATL,GA,AA,209327,212,439.95,752.95,848562,848562,4,4,0.2467,2505.0,317.38,216.0
ATL,GA,B6,226375,1688,368.86,1226.58,848562,848562,4,4,0.2668,2505.0,317.38,216.0
ATL,GA,NK,211963,1372,237.46,1543.9,848562,848562,4,4,0.2498,2505.0,317.38,216.0
ATL,GA,WN,200897,945,216.0,1811.46,848562,848562,4,4,0.2367,2505.0,317.38,216.0
BOS,MA,DL,326409,709,249.1,1055.69,606172,606172,2,2,0.5385,5030.0,313.73,249.1
BOS,MA,NK,279763,365,389.13,1625.17,606172,606172,2,2,0.4615,5030.0,313.73,249.1
CLT,NC,AS,212260,1311,378.29,713.76,1309086,1309086,5,5,0.1621,2438.0,238.44,167.26
CLT,NC,DL,82601,1220,196.27,532.07,1309086,1309086,5,5,0.0631,2438.0,238.44,167.26
CLT,NC,F9,395759,224,167.26,1038.71,1309086,1309086,5,5,0.3023,2438.0,238.44,167.26
CLT,NC,UA,404524,1049,197.2,1294.87,1309086,1309086,5,5,0.309,2438.0,238.44,167.26
CLT,NC,WN,213942,317,325.64,1638.12,1309086,1309086,5,5,0.1634,2438.0,238.44,167.26
DEN,CO,AA,128714,392,371.52,919.22,813774,813774,4,4,0.1582,3627.0,427.14,371.52
DEN,CO,AS,257302,1867,373.48,717.96,813774,813774,4,4,0.3162,3627.0,427.14,371.52
DEN,CO,NK,32308,281,452.28,748.46,813774,813774,4,4,0.0397,3627.0,427.14,371.52
DEN,CO,UA,395450,568,478.1,1233.48,813774,813774,4,4,0.4859,3627.0,427.14,371.52
DFW,TX,F9,390520,476,419.85,1233.82,778000,778000,3,3,0.502,3876.0,374.38,286.19
DFW,TX,NK,134584,993,408.17,453.62,778000,778000,3,3,0.173,3876.0,374.38,286.19
DFW,TX,WN,252896,1967,286.19,1937.94,778000,778000,3,3,0.3251,3876.0,374.38,286.19
DTW,MI,AA,162492,831,163.08,1693.35,798812,798812,5,5,0.2034,2619.0,371.42,163.08
DTW,MI,AS,307111,1365,436.83,552.58,798812,798812,5,5,0.3845,2619.0,371.42,163.08
DTW,MI,F9,187415,1955,457.93,1094.89,798812,798812,5,5,0.2346,2619.0,371.42,163.08
DTW,MI,UA,46144,734,423.04,1874.99,798812,798812,5,5,0.0578,2619.0,371.42,163.08
DTW,MI,WN,95650,1489,320.9,1838.44,798812,798812,5,5,0.1197,2619.0,371.42,163.08
EWR,NJ,B6,447946,931,280.1,1622.69,2263878,2263878,6,6,0.1979,1771.0,273.37,150.07
EWR,NJ,DL,291065,1946,224.87,1625.13,2263878,2263878,6,6,0.1286,1771.0,273.37,150.07
EWR,NJ,F9,213189,632,150.07,455.46,2263878,2263878,6,6,0.0942,1771.0,273.37,150.07
EWR,NJ,NK,478162,714,260.3,1986.34,2263878,2263878,6,6,0.2112,1771.0,273.37,150.07
EWR,NJ,UA,438143,1203,404.05,1373.46,2263878,2263878,6,6,0.1935,1771.0,273.37,150.07
EWR,NJ,WN,395373,966,238.93,1938.64,2263878,2263878,6,6,0.1746,1771.0,273.37,150.07
IAH,TX,AA,421415,594,397.95,1717.83,1066608,1066608,3,3,0.3951,3482.0,435.33,397.95
IAH,TX,F9,250397,1192,430.36,497.12,1066608,1066608,3,3,0.2348,3482.0,435.33,397.95
IAH,TX,NK,394796,805,478.39,1065.53,1066608,1066608,3,3,0.3701,3482.0,435.33,397.95
JFK,NY,AA,493032,172,489.38,1615.3,925313,925313,4,4,0.5328,4115.0,371.97,204.25
JFK,NY,DL,27016,1459,353.38,1505.2,925313,925313,4,4,0.0292,4115.0,371.97,204.25
JFK,NY,F9,87679,743,324.97,1497.51,925313,925313,4,4,0.0948,4115.0,371.97,204.25
JFK,NY,WN,317586,559,204.25,1633.28,925313,925313,4,4,0.3432,4115.0,371.97,204.25
LAS,NV,B6,98658,1044,455.72,723.33,449106,449106,2,2,0.2197,6571.0,235.37,173.34
LAS,NV,DL,350448,315,173.34,1736.31,449106,449106,2,2,0.7803,6571.0,235.37,173.34
LAX,CA,AS,372249,89,367.96,700.46,1068276,1068276,6,6,0.3485,2743.0,275.86,152.87
LAX,CA,B6,103566,643,448.72,691.85,1068276,1068276,6,6,0.0969,2743.0,275.86,152.87
LAX,CA,DL,386213,80,152.87,544.32,1068276,1068276,6,6,0.3615,2743.0,275.86,152.87
LAX,CA,F9,84770,430,167.37,1255.95,1068276,1068276,6,6,0.0794,2743.0,275.86,152.87
LAX,CA,NK,58620,947,248.74,600.06,1068276,1068276,6,6,0.0549,2743.0,275.86,152.87
LAX,CA,UA,62858,607,372.91,1388.37,1068276,1068276,6,6,0.0588,2743.0,275.86,152.87
LGA,NY,AS,301177,502,202.35,1203.84,386496,386496,2,2,0.7792,6559.0,194.7,167.68
LGA,NY,B6,85319,854,167.68,1570.53,386496,386496,2,2,0.2208,6559.0,194.7,167.68
MCO,FL,AA,277359,1138,183.99,1560.28,1622062,1622062,6,6,0.171,1701.0,299.28,183.99
MCO,FL,AS,207024,559,216.31,1241.91,1622062,1622062,6,6,0.1276,1701.0,299.28,183.99
MCO,FL,F9,303858,1584,368.86,686.24,1622062,1622062,6,6,0.1873,1701.0,299.28,183.99
