Origin,Dest,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,route_total_passengers_all,route_total_passengers_valid,carriers_on_route_all,carriers_on_route_valid,route_share,route_HHI,route_avg_fare_all,route_min_fare_all
ATL,BOS,AA,9490,89,230.59,2212.73,81072,81072,2,2,0.1171,7932.0,305.33,230.59
ATL,BOS,AS,71582,337,315.24,2212.73,81072,81072,2,2,0.8829,7932.0,305.33,230.59
ATL,CLT,B6,70094,265,350.05,2424.34,111014,111014,2,2,0.6314,5345.0,374.68,350.05
ATL,CLT,UA,40920,218,416.87,2424.34,111014,111014,2,2,0.3686,5345.0,374.68,350.05
ATL,DEN,B6,105394,378,213.41,1387.34,409696,409696,5,5,0.2572,2137.0,263.19,210.61
ATL,DEN,DL,82687,42,333.9,1387.34,409696,409696,5,5,0.2018,2137.0,263.19,210.61
ATL,DEN,F9,77960,285,279.5,1387.34,409696,409696,5,5,0.1903,2137.0,263.19,210.61
ATL,DEN,NK,44095,311,210.61,1387.34,409696,409696,5,5,0.1076,2137.0,263.19,210.61
ATL,DEN,WN,99560,155,267.69,1387.34,409696,409696,5,5,0.243,2137.0,263.19,210.61
ATL,DFW,AS,63781,266,191.12,1232.56,180394,180394,3,3,0.3536,3944.0,179.85,145.95
ATL,DFW,B6,89675,387,182.02,1232.56,180394,180394,3,3,0.4971,3944.0,179.85,145.95
ATL,DFW,NK,26938,180,145.95,1232.56,180394,180394,3,3,0.1493,3944.0,179.85,145.95
ATL,DTW,AS,49329,222,141.19,797.78,255045,255045,4,4,0.1934,2766.0,131.67,101.54
ATL,DTW,F9,98768,171,153.05,797.78,255045,255045,4,4,0.3873,2766.0,131.67,101.54
ATL,DTW,NK,59863,302,112.27,797.78,255045,255045,4,4,0.2347,2766.0,131.67,101.54
ATL,DTW,UA,47085,350,101.54,797.78,255045,255045,4,4,0.1846,2766.0,131.67,101.54
ATL,EWR,F9,25422,257,162.61,558.92,234206,234206,3,3,0.1085,4094.0,154.19,146.6
ATL,EWR,NK,106905,95,146.6,558.92,234206,234206,3,3,0.4565,4094.0,154.19,146.6
ATL,EWR,WN,101879,367,160.06,558.92,234206,234206,3,3,0.435,4094.0,154.19,146.6
ATL,IAH,DL,33304,476,210.8,1269.7,216077,216077,3,3,0.1541,3855.0,186.45,152.88
ATL,IAH,F9,100964,42,152.88,1269.7,216077,216077,3,3,0.4673,3855.0,186.45,152.88
ATL,IAH,UA,81809,416,217.97,1269.7,216077,216077,3,3,0.3786,3855.0,186.45,152.88
ATL,JFK,AS,119038,212,171.45,877.36,242418,242418,4,4,0.491,3720.0,166.89,143.4
ATL,JFK,B6,5573,352,190.11,877.36,242418,242418,4,4,0.023,3720.0,166.89,143.4
ATL,JFK,NK,77949,145,143.4,877.36,242418,242418,4,4,0.3215,3720.0,166.89,143.4
ATL,JFK,WN,39858,446,195.99,877.36,242418,242418,4,4,0.1644,3720.0,166.89,143.4
ATL,LAS,AA,101469,493,356.17,2683.96,101469,101469,1,1,1.0,10000.0,356.17,356.17
ATL,LAX,AA,54999,458,287.09,2258.02,99349,99349,2,2,0.5536,5057.0,291.25,287.09
ATL,LAX,NK,44350,462,296.41,2258.02,99349,99349,2,2,0.4464,5057.0,291.25,287.09
ATL,LGA,B6,91713,204,267.96,2355.41,244606,244606,3,3,0.3749,3807.0,267.4,246.09
ATL,LGA,UA,39848,80,326.58,2355.41,244606,244606,3,3,0.1629,3807.0,267.4,246.09
ATL,LGA,WN,113045,490,246.09,2355.41,244606,244606,3,3,0.4622,3807.0,267.4,246.09
ATL,MCO,F9,99762,25,208.03,700.85,170360,170360,2,2,0.5856,5147.0,191.13,167.26
ATL,MCO,UA,70598,483,167.26,700.85,170360,170360,2,2,0.4144,5147.0,191.13,167.26
ATL,MIA,AA,102693,130,206.73,1541.59,250779,250779,5,5,0.4095,2979.0,241.75,206.73
ATL,MIA,B6,51490,178,260.33,1541.59,250779,250779,5,5,0.2053,2979.0,241.75,206.73
ATL,MIA,F9,2362,50,275.31,1541.59,250779,250779,5,5,0.0094,2979.0,241.75,206.73
ATL,MIA,NK,70504,157,272.44,1541.59,250779,250779,5,5,0.2811,2979.0,241.75,206.73
ATL,MIA,UA,23730,112,258.44,1541.59,250779,250779,5,5,0.0946,2979.0,241.75,206.73
ATL,MSP,WN,102836,404,365.27,2386.28,102836,102836,1,1,1.0,10000.0,365.27,365.27
ATL,ORD,B6,55271,14,244.96,1809.8,174693,174693,2,2,0.3164,5674.0,261.7,244.96
ATL,ORD,WN,119422,102,269.45,1809.8,174693,174693,2,2,0.6836,5674.0,261.7,244.96
ATL,PHL,AA,100322,329,255.27,1601.29,358368,358368,4,4,0.2799,2563.0,254.88,214.73
ATL,PHL,B6,106777,437,214.73,1601.29,358368,358368,4,4,0.298,2563.0,254.88,214.73
ATL,PHL,DL,78210,263,228.31,1601.29,358368,358368,4,4,0.2182,2563.0,254.88,214.73
ATL,PHL,F9,73059,381,341.48,1601.29,358368,358368,4,4,0.2039,2563.0,254.88,214.73
ATL,PHX,AA,67448,352,170.48,1143.82,258444,258444,3,3,0.261,3475.0,203.02,170.48
ATL,PHX,UA,109970,248,235.56,1143.82,258444,258444,3,3,0.4255,3475.0,203.02,170.48
ATL,PHX,WN,81026,52,185.94,1143.82,258444,258444,3,3,0.3135,3475.0,203.02,170.48
ATL,SEA,AA,21715,114,229.52,548.65,156844,156844,3,3,0.1384,4575.0,187.78,170.19
ATL,SEA,F9,38814,222,208.07,548.65,156844,156844,3,3,0.2475,4575.0,187.78,170.19
ATL,SEA,WN,96315,346,170.19,548.65,156844,156844,3,3,0.6141,4575.0,187.78,170.19
