Origin,Dest,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,route_total_passengers_all,route_total_passengers_valid,carriers_on_route_all,carriers_on_route_valid,route_share,route_HHI,route_avg_fare_all,route_min_fare_all
ATL,BOS,AA,36502,187,346.23,2539.57,157419,157419,4,4,0.2319,5096.0,359.91,346.23
ATL,BOS,B6,5627,18,349.88,2539.57,157419,157419,4,4,0.0357,5096.0,359.91,346.23
ATL,BOS,DL,9603,434,373.81,2539.57,157419,157419,4,4,0.061,5096.0,359.91,346.23
ATL,BOS,WN,105687,164,363.91,2539.57,157419,157419,4,4,0.6714,5096.0,359.91,346.23
ATL,CLT,AA,19805,64,145.9,710.49,350158,350158,4,4,0.0566,3017.0,141.63,121.07
ATL,CLT,F9,117691,146,145.89,710.49,350158,350158,4,4,0.3361,3017.0,141.63,121.07
ATL,CLT,UA,98152,18,121.07,710.49,350158,350158,4,4,0.2803,3017.0,141.63,121.07
ATL,CLT,WN,114510,62,154.14,710.49,350158,350158,4,4,0.327,3017.0,141.63,121.07
ATL,DEN,AA,43605,300,135.73,1096.47,43605,43605,1,1,1.0,10000.0,135.73,135.73
ATL,DFW,AA,10021,200,132.98,749.76,163439,163439,3,3,0.0613,5008.0,130.07,127.84
ATL,DFW,F9,49254,170,127.84,749.76,163439,163439,3,3,0.3014,5008.0,130.07,127.84
ATL,DFW,NK,104164,135,130.84,749.76,163439,163439,3,3,0.6373,5008.0,130.07,127.84
ATL,DTW,AA,107783,259,298.82,2729.41,110003,110003,2,2,0.9798,9604.0,299.69,298.82
ATL,DTW,DL,2220,249,341.79,2729.41,110003,110003,2,2,0.0202,9604.0,299.69,298.82
ATL,EWR,AS,92075,80,256.06,2279.07,211404,211404,3,3,0.4355,3624.0,291.39,256.06
ATL,EWR,B6,42355,395,356.08,2279.07,211404,211404,3,3,0.2004,3624.0,291.39,256.06
ATL,EWR,F9,76974,74,298.05,2279.07,211404,211404,3,3,0.3641,3624.0,291.39,256.06
ATL,IAH,AA,1147,454,254.95,777.9,49996,49996,2,2,0.0229,9552.0,243.35,243.08
ATL,IAH,UA,48849,285,243.08,777.9,49996,49996,2,2,0.9771,9552.0,243.35,243.08
ATL,JFK,AA,116283,353,262.31,1263.98,222836,222836,3,3,0.5218,3974.0,240.58,198.03
ATL,JFK,B6,36944,494,252.38,1263.98,222836,222836,3,3,0.1658,3974.0,240.58,198.03
ATL,JFK,WN,69609,297,198.03,1263.98,222836,222836,3,3,0.3124,3974.0,240.58,198.03
ATL,LAS,B6,111737,476,280.33,1830.8,301435,301435,4,4,0.3707,3062.0,276.56,212.99
ATL,LAS,DL,91786,262,323.22,1830.8,301435,301435,4,4,0.3045,3062.0,276.56,212.99
ATL,LAS,UA,16413,490,305.59,1830.8,301435,301435,4,4,0.0544,3062.0,276.56,212.99
ATL,LAS,WN,81499,124,212.99,1830.8,301435,301435,4,4,0.2704,3062.0,276.56,212.99
ATL,LAX,F9,98421,173,293.65,2507.14,180567,180567,2,2,0.5451,5041.0,281.94,267.9
ATL,LAX,WN,82146,206,267.9,2507.14,180567,180567,2,2,0.4549,5041.0,281.94,267.9
ATL,LGA,AS,51038,454,356.99,2419.52,150412,150412,3,3,0.3393,4247.0,309.95,252.14
ATL,LGA,DL,81827,409,293.0,2419.52,150412,150412,3,3,0.544,4247.0,309.95,252.14
ATL,LGA,F9,17547,196,252.14,2419.52,150412,150412,3,3,0.1167,4247.0,309.95,252.14
ATL,MCO,B6,6791,48,356.12,2508.3,6791,6791,1,1,1.0,10000.0,356.12,356.12
ATL,MIA,F9,55712,241,239.25,1546.63,55712,55712,1,1,1.0,10000.0,239.25,239.25
ATL,MSP,AA,46769,456,287.66,1744.71,281004,281004,5,5,0.1664,2390.0,262.41,243.33
ATL,MSP,AS,63769,145,243.33,1744.71,281004,281004,5,5,0.2269,2390.0,262.41,243.33
ATL,MSP,DL,32268,386,301.12,1744.71,281004,281004,5,5,0.1148,2390.0,262.41,243.33
ATL,MSP,NK,37271,384,256.13,1744.71,281004,281004,5,5,0.1326,2390.0,262.41,243.33
ATL,MSP,WN,100927,52,252.71,1744.71,281004,281004,5,5,0.3592,2390.0,262.41,243.33
ATL,ORD,AS,85054,281,449.84,2544.74,250948,250948,4,4,0.3389,2674.0,374.56,311.71
ATL,ORD,B6,67524,219,326.85,2544.74,250948,250948,4,4,0.2691,2674.0,374.56,311.71
ATL,ORD,UA,38966,459,388.73,2544.74,250948,250948,4,4,0.1553,2674.0,374.56,311.71
ATL,ORD,WN,59404,27,311.71,2544.74,250948,250948,4,4,0.2367,2674.0,374.56,311.71
ATL,PHL,AS,69659,170,187.18,821.65,69659,69659,1,1,1.0,10000.0,187.18,187.18
ATL,PHX,AA,113403,233,226.05,646.84,113403,113403,1,1,1.0,10000.0,226.05,226.05
