Origin,Dest,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,route_total_passengers_all,route_total_passengers_valid,carriers_on_route_all,carriers_on_route_valid,route_share,route_HHI,route_avg_fare_all,route_min_fare_all
ATL,BOS,B6,38969,242,285.43,2221.5,38969,38969,1,1,1.0,10000.0,285.43,285.43
ATL,CLT,AS,98538,35,258.07,1954.68,277411,277411,4,4,0.3552,2876.0,279.66,255.79
ATL,CLT,B6,25390,39,255.79,1954.68,277411,277411,4,4,0.0915,2876.0,279.66,255.79
ATL,CLT,F9,77069,480,280.08,1954.68,277411,277411,4,4,0.2778,2876.0,279.66,255.79
ATL,CLT,WN,76414,41,315.0,1954.68,277411,277411,4,4,0.2755,2876.0,279.66,255.79
ATL,DEN,B6,87173,158,282.2,2513.63,137572,137572,4,4,0.6337,4528.0,306.01,282.2
ATL,DEN,DL,25703,33,355.8,2513.63,137572,137572,4,4,0.1868,4528.0,306.01,282.2
ATL,DEN,NK,13738,242,305.71,2513.63,137572,137572,4,4,0.0999,4528.0,306.01,282.2
ATL,DEN,UA,10958,453,379.07,2513.63,137572,137572,4,4,0.0797,4528.0,306.01,282.2
ATL,DFW,AS,12656,193,319.43,2693.03,301313,301313,4,4,0.042,3185.0,288.46,265.14
ATL,DFW,DL,106291,245,265.14,2693.03,301313,301313,4,4,0.3528,3185.0,288.46,265.14
ATL,DFW,F9,70784,482,278.27,2693.03,301313,301313,4,4,0.2349,3185.0,288.46,265.14
ATL,DFW,UA,111582,145,313.62,2693.03,301313,301313,4,4,0.3703,3185.0,288.46,265.14
ATL,DTW,AS,8444,183,157.74,535.81,360690,360690,5,5,0.0234,2594.0,187.57,157.74
ATL,DTW,DL,113724,354,183.45,535.81,360690,360690,5,5,0.3153,2594.0,187.57,157.74
ATL,DTW,F9,46938,249,159.39,535.81,360690,360690,5,5,0.1301,2594.0,187.57,157.74
ATL,DTW,NK,105435,137,193.9,535.81,360690,360690,5,5,0.2923,2594.0,187.57,157.74
ATL,DTW,WN,86149,60,203.54,535.81,360690,360690,5,5,0.2388,2594.0,187.57,157.74
ATL,EWR,AA,9805,40,237.73,1145.21,40466,40466,2,2,0.2423,6328.0,228.41,225.43
ATL,EWR,WN,30661,13,225.43,1145.21,40466,40466,2,2,0.7577,6328.0,228.41,225.43
ATL,IAH,AA,9571,282,463.75,2495.02,122176,122176,3,3,0.0783,6971.0,332.92,310.44
ATL,IAH,DL,100879,347,310.44,2495.02,122176,122176,3,3,0.8257,6971.0,332.92,310.44
ATL,IAH,WN,11726,427,419.48,2495.02,122176,122176,3,3,0.096,6971.0,332.92,310.44
ATL,JFK,F9,83727,383,131.21,823.77,206407,206407,3,3,0.4056,3800.0,146.54,130.64
ATL,JFK,NK,32587,204,130.64,823.77,206407,206407,3,3,0.1579,3800.0,146.54,130.64
ATL,JFK,UA,90093,321,166.54,823.77,206407,206407,3,3,0.4365,3800.0,146.54,130.64
ATL,LAS,B6,67042,455,457.61,2729.72,67042,67042,1,1,1.0,10000.0,457.61,457.61
ATL,LAX,AA,18789,356,310.62,2153.88,18789,18789,1,1,1.0,10000.0,310.62,310.62
ATL,LGA,AA,64153,452,393.79,2722.49,314390,314390,5,5,0.2041,2345.0,385.74,303.13
ATL,LGA,AS,53065,94,473.46,2722.49,314390,314390,5,5,0.1688,2345.0,385.74,303.13
ATL,LGA,B6,50172,209,303.13,2722.49,314390,314390,5,5,0.1596,2345.0,385.74,303.13
ATL,LGA,DL,111740,218,347.44,2722.49,314390,314390,5,5,0.3554,2345.0,385.74,303.13
ATL,LGA,NK,35260,411,478.01,2722.49,314390,314390,5,5,0.1122,2345.0,385.74,303.13
ATL,MCO,AS,118414,71,202.51,1357.84,305004,305004,4,4,0.3882,2972.0,213.13,202.51
ATL,MCO,B6,88539,234,215.16,1357.84,305004,305004,4,4,0.2903,2972.0,213.13,202.51
ATL,MCO,F9,26865,214,221.2,1357.84,305004,305004,4,4,0.0881,2972.0,213.13,202.51
ATL,MCO,UA,71186,363,225.24,1357.84,305004,305004,4,4,0.2334,2972.0,213.13,202.51
ATL,MIA,AS,32825,285,291.16,1289.08,128405,128405,3,3,0.2556,3624.0,255.92,216.4
ATL,MIA,F9,34938,229,291.41,1289.08,128405,128405,3,3,0.2721,3624.0,255.92,216.4
ATL,MIA,WN,60642,81,216.4,1289.08,128405,128405,3,3,0.4723,3624.0,255.92,216.4
ATL,MSP,AA,28580,380,296.06,2449.09,60275,60275,2,2,0.4742,5013.0,277.09,259.98
ATL,MSP,DL,31695,258,259.98,2449.09,60275,60275,2,2,0.5258,5013.0,277.09,259.98
ATL,ORD,AA,36963,13,143.39,534.24,366165,366165,5,5,0.1009,2211.0,125.47,96.8
ATL,ORD,B6,94350,289,133.89,534.24,366165,366165,5,5,0.2577,2211.0,125.47,96.8
ATL,ORD,DL,79407,111,96.8,534.24,366165,366165,5,5,0.2169,2211.0,125.47,96.8
ATL,ORD,NK,99958,367,143.17,534.24,366165,366165,5,5,0.273,2211.0,125.47,96.8
ATL,ORD,WN,55487,311,108.34,534.24,366165,366165,5,5,0.1515,2211.0,125.47,96.8
ATL,PHL,B6,10380,451,220.56,1421.53,47389,47389,2,2,0.219,6579.0,222.21,220.56
ATL,PHL,WN,37009,457,222.67,1421.53,47389,47389,2,2,0.781,6579.0,222.21,220.56
ATL,PHX,DL,574,260,326.66,2206.28,106182,106182,3,3,0.0054,9338.0,371.0,254.31
ATL,PHX,UA,3052,195,254.31,2206.28,106182,106182,3,3,0.0287,9338.0,371.0,254.31
ATL,PHX,WN,102556,480,374.72,2206.28,106182,106182,3,3,0.9659,9338.0,371.0,254.31
ATL,SEA,AS,61848,293,108.26,527.27,303188,303188,5,5,0.204,3030.0,117.61,89.13
ATL,SEA,DL,8826,315,100.92,527.27,303188,303188,5,5,0.0291,3030.0,117.61,89.13
ATL,SEA,NK,14871,91,89.13,527.27,303188,303188,5,5,0.049,3030.0,117.61,89.13
ATL,SEA,UA,104319,315,115.96,527.27,303188,303188,5,5,0.3441,3030.0,117.61,89.13
ATL,SEA,WN,113324,358,129.28,527.27,303188,303188,5,5,0.3738,3030.0,117.61,89.13
ATL,SFO,AS,41847,43,336.68,2407.13,100521,100521,3,3,0.4163,3439.0,382.29,336.68
ATL,SFO,UA,28153,300,422.81,2407.13,100521,100521,3,3,0.2801,3439.0,382.29,336.68
ATL,SFO,WN,30521,422,407.45,2407.13,100521,100521,3,3,0.3036,3439.0,382.29,336.68
BOS,ATL,AS,100328,478,218.07,1071.06,349389,349389,4,4,0.2872,2907.0,208.46,176.14
BOS,ATL,B6,105726,250,230.72,1071.06,349389,349389,4,4,0.3026,2907.0,208.46,176.14
BOS,ATL,F9,116211,60,187.46,1071.06,349389,349389,4,4,0.3326,2907.0,208.46,176.14
BOS,ATL,UA,27124,221,176.14,1071.06,349389,349389,4,4,0.0776,2907.0,208.46,176.14
BOS,CLT,AA,56941,450,137.85,316.92,406972,406972,5,5,0.1399,2256.0,126.22,109.61
BOS,CLT,DL,85832,79,146.9,316.92,406972,406972,5,5,0.2109,2256.0,126.22,109.61
BOS,CLT,F9,113510,181,110.11,316.92,406972,406972,5,5,0.2789,2256.0,126.22,109.61
BOS,CLT,UA,39878,495,109.61,316.92,406972,406972,5,5,0.098,2256.0,126.22,109.61
BOS,CLT,WN,110811,421,126.7,316.92,406972,406972,5,5,0.2723,2256.0,126.22,109.61
BOS,DEN,DL,100683,80,280.96,2662.97,100683,100683,1,1,1.0,10000.0,280.96,280.96
BOS,DFW,AS,24623,287,198.43,649.9,109246,109246,2,2,0.2254,6508.0,200.89,198.43
BOS,DFW,DL,84623,278,201.61,649.9,109246,109246,2,2,0.7746,6508.0,200.89,198.43
BOS,DTW,NK,14038,191,202.02,1692.46,87180,87180,2,2,0.161,7298.0,208.98,202.02
BOS,DTW,WN,73142,316,210.31,1692.46,87180,87180,2,2,0.839,7298.0,208.98,202.02
BOS,EWR,B6,11252,204,306.0,2652.86,217674,217674,4,4,0.0517,4081.0,330.18,302.47
BOS,EWR,DL,11732,161,388.59,2652.86,217674,217674,4,4,0.0539,4081.0,330.18,302.47
BOS,EWR,F9,89588,204,358.07,2652.86,217674,217674,4,4,0.4116,4081.0,330.18,302.47
BOS,EWR,UA,105102,47,302.47,2652.86,217674,217674,4,4,0.4828,4081.0,330.18,302.47
BOS,IAH,AS,90849,266,358.59,2541.31,190388,190388,2,2,0.4772,5010.0,359.84,358.59
BOS,IAH,NK,99539,414,360.99,2541.31,190388,190388,2,2,0.5228,5010.0,359.84,358.59
BOS,JFK,AS,84088,325,148.09,677.57,144358,144358,2,2,0.5825,5136.0,140.09,128.92
BOS,JFK,DL,60270,326,128.92,677.57,144358,144358,2,2,0.4175,5136.0,140.09,128.92
