Origin,Dest,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,LAX,AA,310.62,2153.88,18789,356
ATL,ORD,DL,96.8,534.24,79407,111
ATL,ORD,B6,133.89,534.24,94350,289
ATL,ORD,WN,108.34,534.24,55487,311
ATL,ORD,AA,143.39,534.24,36963,13
ATL,ORD,NK,143.17,534.24,99958,367
ATL,DFW,AS,319.43,2693.03,12656,193
ATL,DFW,UA,313.62,2693.03,111582,145
ATL,DFW,DL,265.14,2693.03,106291,245
ATL,DFW,F9,278.27,2693.03,70784,482
ATL,DEN,DL,355.8,2513.63,25703,33
ATL,DEN,B6,282.2,2513.63,87173,158
ATL,DEN,UA,379.07,2513.63,10958,453
ATL,DEN,NK,305.71,2513.63,13738,242
ATL,JFK,UA,166.54,823.77,90093,321
ATL,JFK,F9,131.21,823.77,83727,383
ATL,JFK,NK,130.64,823.77,32587,204
ATL,SFO,WN,407.45,2407.13,30521,422
ATL,SFO,AS,336.68,2407.13,41847,43
ATL,SFO,UA,422.81,2407.13,28153,300
ATL,MIA,WN,216.4,1289.08,60642,81
ATL,MIA,AS,291.16,1289.08,32825,285
ATL,MIA,F9,291.41,1289.08,34938,229
ATL,SEA,NK,89.13,527.27,14871,91
ATL,SEA,UA,115.96,527.27,104319,315
ATL,SEA,DL,100.92,527.27,8826,315
ATL,SEA,AS,108.26,527.27,61848,293
ATL,SEA,WN,129.28,527.27,113324,358
ATL,BOS,B6,285.43,2221.5,38969,242
ATL,LAS,B6,457.61,2729.72,67042,455
ATL,PHX,WN,374.72,2206.28,102556,480
ATL,PHX,DL,326.66,2206.28,574,260
ATL,PHX,UA,254.31,2206.28,3052,195
ATL,IAH,WN,419.48,2495.02,11726,427
ATL,IAH,AA,463.75,2495.02,9571,282
ATL,IAH,DL,310.44,2495.02,100879,347
ATL,MCO,UA,225.24,1357.84,71186,363
ATL,MCO,F9,221.2,1357.84,26865,214
ATL,MCO,B6,215.16,1357.84,88539,234
ATL,MCO,AS,202.51,1357.84,118414,71
ATL,EWR,WN,225.43,1145.21,30661,13
ATL,EWR,AA,237.73,1145.21,9805,40
ATL,MSP,DL,259.98,2449.09,31695,258
ATL,MSP,AA,296.06,2449.09,28580,380
ATL,DTW,F9,159.39,535.81,46938,249
ATL,DTW,DL,183.45,535.81,113724,354
ATL,DTW,WN,203.54,535.81,86149,60
ATL,DTW,AS,157.74,535.81,8444,183
ATL,DTW,NK,193.9,535.81,105435,137
ATL,PHL,WN,222.67,1421.53,37009,457
ATL,PHL,B6,220.56,1421.53,10380,451
ATL,LGA,DL,347.44,2722.49,111740,218
ATL,LGA,AA,393.79,2722.49,64153,452
ATL,LGA,AS,473.46,2722.49,53065,94
ATL,LGA,B6,303.13,2722.49,50172,209
