Origin,Dest,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,LAX,WN,199.46,1108.53,12243,221
ATL,LAX,DL,228.89,1108.53,56014,107
ATL,LAX,AA,226.48,1108.53,42539,345
ATL,LAX,UA,276.0,1108.53,3672,96
ATL,LAX,F9,258.12,1108.53,46338,421
ATL,ORD,UA,181.12,799.21,99817,53
ATL,ORD,WN,181.99,799.21,15228,134
ATL,ORD,AA,196.55,799.21,81896,454
ATL,ORD,DL,188.25,799.21,109610,17
ATL,DFW,DL,227.58,1477.98,97494,114
ATL,DFW,UA,226.01,1477.98,72120,142
ATL,DFW,WN,221.72,1477.98,72432,383
ATL,DEN,AA,248.53,1757.51,6199,40
ATL,DEN,WN,241.2,1757.51,37726,366
ATL,JFK,B6,237.29,1271.61,112184,194
ATL,JFK,AA,161.28,1271.61,113783,159
ATL,JFK,WN,234.51,1271.61,114193,207
ATL,JFK,NK,243.61,1271.61,30799,270
ATL,JFK,F9,160.5,1271.61,93520,171
ATL,SFO,DL,279.7,2716.98,93884,136
ATL,SFO,F9,328.59,2716.98,69891,260
ATL,SFO,NK,404.4,2716.98,52063,19
ATL,SFO,B6,394.03,2716.98,45953,191
ATL,MIA,WN,313.97,2329.73,115669,427
ATL,MIA,B6,401.97,2329.73,4362,495
ATL,MIA,UA,288.44,2329.73,37225,184
ATL,SEA,UA,283.96,1601.79,114886,126
ATL,SEA,AA,234.81,1601.79,55200,88
ATL,SEA,AS,327.98,1601.79,56397,475
ATL,SEA,WN,246.16,1601.79,79846,287
ATL,BOS,WN,141.39,646.44,105371,80
ATL,BOS,AS,179.54,646.44,41001,470
ATL,LAS,UA,170.63,1093.74,94798,172
ATL,LAS,WN,246.22,1093.74,110537,382
ATL,LAS,DL,234.88,1093.74,4364,460
ATL,LAS,B6,254.32,1093.74,54769,165
ATL,LAS,AS,232.92,1093.74,58565,430
ATL,PHX,UA,152.12,566.93,100435,325
ATL,PHX,NK,129.75,566.93,35478,323
ATL,PHX,DL,129.2,566.93,30766,128
ATL,IAH,AS,173.51,498.69,18075,319
ATL,MCO,AS,161.88,1484.62,30158,401
ATL,MCO,DL,250.47,1484.62,2467,496
ATL,MCO,WN,180.76,1484.62,54638,353
ATL,MCO,F9,233.84,1484.62,27085,43
ATL,EWR,F9,285.74,1842.65,114109,136
ATL,EWR,NK,278.42,1842.65,56540,31
ATL,MSP,NK,290.88,1601.62,108897,459
ATL,MSP,AS,248.73,1601.62,32707,212
ATL,MSP,UA,192.44,1601.62,96860,208
ATL,MSP,WN,277.66,1601.62,68149,35
ATL,MSP,AA,222.02,1601.62,25384,213
ATL,DTW,B6,260.18,1356.16,7649,472
ATL,DTW,WN,234.46,1356.16,19143,340
ATL,DTW,DL,192.06,1356.16,59704,266
ATL,PHL,UA,361.26,2246.83,91741,211
ATL,LGA,AS,234.05,1434.2,117913,242
ATL,LGA,WN,240.3,1434.2,12320,364
ATL,LGA,AA,325.65,1434.2,85510,417
ATL,LGA,DL,301.13,1434.2,21995,73
ATL,CLT,DL,311.1,2065.57,11681,206
LAX,ATL,UA,410.19,2220.65,74620,451
LAX,ATL,WN,292.48,2220.65,20172,84
LAX,ATL,B6,393.23,2220.65,23944,36
LAX,ATL,NK,316.7,2220.65,55495,383
LAX,ATL,AA,425.07,2220.65,101245,157
LAX,ORD,DL,271.87,2701.08,100821,244
LAX,ORD,F9,360.23,2701.08,65725,288
LAX,DFW,F9,188.45,894.7,62852,236
LAX,DEN,AA,202.05,911.78,81733,429
LAX,JFK,AA,147.62,670.64,5313,26
LAX,JFK,DL,184.21,670.64,87924,318
LAX,SFO,AS,216.91,572.22,21646,322
LAX,SFO,AA,218.77,572.22,87128,314
LAX,SFO,NK,227.91,572.22,75510,100
LAX,MIA,AS,192.13,1107.05,108013,228
LAX,MIA,AA,247.75,1107.05,111034,159
LAX,MIA,NK,199.83,1107.05,62210,365
LAX,MIA,UA,215.94,1107.05,113144,279
LAX,SEA,WN,150.64,445.46,82941,54
LAX,SEA,AS,164.45,445.46,63894,319
LAX,SEA,DL,183.0,445.46,103808,157
LAX,SEA,B6,156.29,445.46,56474,172
LAX,BOS,AS,262.6,1706.59,83318,423
LAX,BOS,DL,310.91,1706.59,24080,129
