Origin,Dest,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,LAX,F9,293.65,2507.14,98421,173
ATL,LAX,WN,267.9,2507.14,82146,206
ATL,ORD,WN,311.71,2544.74,59404,27
ATL,ORD,B6,326.85,2544.74,67524,219
ATL,ORD,UA,388.73,2544.74,38966,459
ATL,ORD,AS,449.84,2544.74,85054,281
ATL,DFW,NK,130.84,749.76,104164,135
ATL,DFW,AA,132.98,749.76,10021,200
ATL,DFW,F9,127.84,749.76,49254,170
ATL,DEN,AA,135.73,1096.47,43605,300
ATL,JFK,WN,198.03,1263.98,69609,297
ATL,JFK,B6,252.38,1263.98,36944,494
ATL,JFK,AA,262.31,1263.98,116283,353
ATL,SFO,NK,258.88,2005.33,107113,110
ATL,MIA,F9,239.25,1546.63,55712,241
ATL,SEA,AS,173.93,1257.14,37860,411
ATL,SEA,B6,233.92,1257.14,112711,12
ATL,BOS,B6,349.88,2539.57,5627,18
ATL,BOS,DL,373.81,2539.57,9603,434
ATL,BOS,WN,363.91,2539.57,105687,164
ATL,BOS,AA,346.23,2539.57,36502,187
ATL,LAS,DL,323.22,1830.8,91786,262
ATL,LAS,B6,280.33,1830.8,111737,476
ATL,LAS,UA,305.59,1830.8,16413,490
ATL,LAS,WN,212.99,1830.8,81499,124
ATL,PHX,AA,226.05,646.84,113403,233
ATL,IAH,UA,243.08,777.9,48849,285
ATL,IAH,AA,254.95,777.9,1147,454
ATL,MCO,B6,356.12,2508.3,6791,48
ATL,EWR,AS,256.06,2279.07,92075,80
ATL,EWR,F9,298.05,2279.07,76974,74
ATL,EWR,B6,356.08,2279.07,42355,395
ATL,MSP,NK,256.13,1744.71,37271,384
ATL,MSP,AS,243.33,1744.71,63769,145
ATL,MSP,WN,252.71,1744.71,100927,52
ATL,MSP,AA,287.66,1744.71,46769,456
ATL,MSP,DL,301.12,1744.71,32268,386
ATL,DTW,DL,341.79,2729.41,2220,249
ATL,DTW,AA,298.82,2729.41,107783,259
ATL,PHL,AS,187.18,821.65,69659,170
ATL,LGA,F9,252.14,2419.52,17547,196
ATL,LGA,AS,356.99,2419.52,51038,454
ATL,LGA,DL,293.0,2419.52,81827,409
ATL,CLT,WN,154.14,710.49,114510,62
ATL,CLT,AA,145.9,710.49,19805,64
ATL,CLT,UA,121.07,710.49,98152,18
ATL,CLT,F9,145.89,710.49,117691,146
LAX,ATL,F9,229.11,1954.71,35309,291
LAX,ORD,AS,190.53,1378.68,66323,180
LAX,DFW,F9,145.85,981.47,85516,485
